epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6009,0.96433,2.60931,1.22756,0.00333,1,0.96643,0.79229,0.65083,3.05814,1.0895,0.000533333,0.000533333,0.000533333
2,32.8025,1.00029,1.89909,1.15657,0.88521,0.77353,0.91771,0.62434,0.85247,2.58895,1.22943,0.00119406,0.00119406,0.00119406
3,45.7954,0.95639,1.69832,1.194,0.88521,0.77353,0.91771,0.62434,0.85247,2.58895,1.22943,0.00184819,0.00184819,0.00184819
4,59.0125,1.5547,2.81562,1.61523,0.75923,0.4,0.44021,0.16432,1.68763,3.48172,1.84556,0.0019703,0.0019703,0.0019703
5,72.1552,1.70415,3.50109,1.66422,0.0729,0.3,0.04903,0.03104,1.18624,3.37053,1.72156,0.0019604,0.0019604,0.0019604
6,85.4179,1.4839,2.72374,1.44703,0.0729,0.3,0.04903,0.03104,1.18624,3.37053,1.72156,0.0019505,0.0019505,0.0019505
7,98.3549,1.21672,2.23606,1.28942,0.64291,0.18574,0.18297,0.09648,1.73394,4.81048,2.17022,0.0019406,0.0019406,0.0019406
8,111.46,1.18008,2.40719,1.32273,0.10295,0.5,0.11241,0.04626,1.94967,17.1841,5.35305,0.0019307,0.0019307,0.0019307
9,124.43,1.0347,1.79555,1.21762,0.10295,0.5,0.11241,0.04626,1.94967,17.1841,5.35305,0.0019208,0.0019208,0.0019208
10,137.676,1.13227,1.75204,1.23267,0.31071,0.5,0.32274,0.08203,2.33054,11.6466,5.08771,0.0019109,0.0019109,0.0019109
11,150.33,1.18384,1.74953,1.32188,0.31071,0.5,0.32274,0.08203,2.33054,11.6466,5.08771,0.001901,0.001901,0.001901
12,163.328,1.09696,1.75986,1.30694,0.55975,0.7,0.6363,0.4515,1.14361,6.35845,1.6057,0.0018911,0.0018911,0.0018911
13,175.858,1.17624,1.70828,1.38731,0.35091,0.7,0.32454,0.17479,1.43349,4.46116,1.65647,0.0018812,0.0018812,0.0018812
14,188.457,1.08286,1.58953,1.23706,0.35091,0.7,0.32454,0.17479,1.43349,4.46116,1.65647,0.0018713,0.0018713,0.0018713
15,201.019,1.03184,1.40613,1.18787,0.66752,0.7,0.70192,0.41552,1.12139,5.54014,1.4628,0.0018614,0.0018614,0.0018614
16,214.349,0.96639,1.47035,1.14971,0.68741,0.44355,0.58756,0.34648,1.19572,5.19794,1.42831,0.0018515,0.0018515,0.0018515
17,227.43,0.96866,1.37418,1.14788,0.68741,0.44355,0.58756,0.34648,1.19572,5.19794,1.42831,0.0018416,0.0018416,0.0018416
18,240.212,1.04763,1.49159,1.27894,0.32707,0.9,0.70221,0.34729,1.2841,10.6543,1.61898,0.0018317,0.0018317,0.0018317
19,253.093,0.91428,1.3368,1.14878,0.32707,0.9,0.70221,0.34729,1.2841,10.6543,1.61898,0.0018218,0.0018218,0.0018218
20,265.838,0.96292,1.42801,1.2065,0.33847,0.6,0.58383,0.37898,1.09779,7.24955,1.41786,0.0018119,0.0018119,0.0018119
21,278.658,1.0337,1.41465,1.25253,0.98561,0.7,0.80643,0.59332,0.90982,2.81663,1.2953,0.001802,0.001802,0.001802
22,291.08,0.99604,1.24334,1.15256,0.98561,0.7,0.80643,0.59332,0.90982,2.81663,1.2953,0.0017921,0.0017921,0.0017921
23,303.984,0.94668,1.22839,1.11683,0.87413,0.8,0.92126,0.68966,0.99753,2.29004,1.30297,0.0017822,0.0017822,0.0017822
24,316.651,0.88234,1.15537,1.10738,0.67818,0.9,0.88173,0.63301,1.12442,2.35764,1.44547,0.0017723,0.0017723,0.0017723
25,329.289,0.94827,1.18281,1.19611,0.67818,0.9,0.88173,0.63301,1.12442,2.35764,1.44547,0.0017624,0.0017624,0.0017624
26,342.486,0.92595,1.17753,1.21206,0.73659,1,0.88841,0.60133,1.05154,2.41963,1.38173,0.0017525,0.0017525,0.0017525
27,355.644,0.88906,1.23639,1.19246,0.73659,1,0.88841,0.60133,1.05154,2.41963,1.38173,0.0017426,0.0017426,0.0017426
28,368.825,0.7881,1.05389,1.08622,1,0.88855,0.95382,0.54161,1.2358,2.32302,1.66103,0.0017327,0.0017327,0.0017327
29,381.459,0.95176,1.1488,1.14954,0.8865,1,0.97682,0.63226,1.13649,1.95156,1.58285,0.0017228,0.0017228,0.0017228
30,393.83,0.83137,1.04201,1.0977,0.8865,1,0.97682,0.63226,1.13649,1.95156,1.58285,0.0017129,0.0017129,0.0017129
31,406.742,0.86339,1.00832,1.14684,0.97996,1,0.995,0.67444,1.03917,1.65735,1.55858,0.001703,0.001703,0.001703
