epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6904,0.96433,2.60931,1.22756,0.00333,1,0.96643,0.79229,0.65083,3.05814,1.0895,0.000533333,0.000533333,0.000533333
2,33.4325,0.99982,1.89115,1.15581,0.88398,0.76465,0.92453,0.65121,0.83486,2.58793,1.22037,0.00117624,0.00117624,0.00117624
3,46.4327,0.95541,1.68591,1.19122,0.88398,0.76465,0.92453,0.65121,0.83486,2.58793,1.22037,0.00179275,0.00179275,0.00179275
4,59.2546,1.55189,2.74184,1.59415,0.76465,0.4,0.45253,0.18757,1.72041,3.34739,1.86703,0.0018812,0.0018812,0.0018812
5,72.3151,1.63193,3.2884,1.6161,0.10282,0.2,0.08688,0.06221,1.13325,3.17389,1.57184,0.0018416,0.0018416,0.0018416
6,85.3326,1.44853,2.52863,1.40787,0.10282,0.2,0.08688,0.06221,1.13325,3.17389,1.57184,0.001802,0.001802,0.001802
7,98.0053,1.22811,2.15929,1.31153,0.2462,0.4,0.23419,0.12209,1.47871,4.6526,1.92307,0.0017624,0.0017624,0.0017624
8,110.977,1.2208,2.33664,1.32528,0.19834,0.47097,0.23317,0.09517,1.56562,8.28005,2.67241,0.0017228,0.0017228,0.0017228
9,124.257,1.03663,1.67017,1.20968,0.19834,0.47097,0.23317,0.09517,1.56562,8.28005,2.67241,0.0016832,0.0016832,0.0016832
10,137.769,1.11233,1.6997,1.20884,0.28959,0.3,0.14307,0.05112,2.61615,8.29352,9.1369,0.0016436,0.0016436,0.0016436
11,150.992,1.15701,1.7755,1.35613,0.28959,0.3,0.14307,0.05112,2.61615,8.29352,9.1369,0.001604,0.001604,0.001604
