epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7421,3.08206,4.16236,4.33181,0.00167,0.5,0.00716,0.00166,2.91179,4.44018,4.15661,0.000571429,0.000571429,0.000571429
2,44.3818,3.19848,4.56447,4.23222,0.00167,0.5,0.00484,0.00089,2.91158,4.43827,4.15478,0.00123401,0.00123401,0.00123401
3,64.6148,3.00824,4.00971,4.17547,0.00167,0.5,0.0019,0.00044,2.91167,4.43277,4.15169,0.00189219,0.00189219,0.00189219
4,82.0577,3.19658,4.0658,4.17135,0.00167,0.5,0.00342,0.00074,2.91075,4.41941,4.14482,0.0019802,0.0019802,0.0019802
5,98.6657,3.14327,3.95615,4.109,0.00167,0.5,0.00371,0.00081,2.90572,4.38749,4.13286,0.0019736,0.0019736,0.0019736
6,114.547,2.95743,3.89496,4.05809,0.00167,0.5,0.00223,0.00051,2.89792,4.3372,4.12165,0.001967,0.001967,0.001967
7,130.935,2.79812,3.6476,3.97414,0.00167,0.5,0.00211,0.00049,2.85942,4.25339,4.11352,0.0019604,0.0019604,0.0019604
8,147.009,3.02622,3.50537,3.92506,0.00167,0.5,0.00211,0.00049,2.85942,4.25339,4.11352,0.0019538,0.0019538,0.0019538
9,163.608,2.95978,3.3986,3.87054,0.002,0.6,0.00373,0.00066,2.81341,4.22682,4.07878,0.0019472,0.0019472,0.0019472
10,179.969,3.22806,3.32745,3.85479,0.002,0.6,0.00405,0.00091,2.74855,4.10941,4.0373,0.0019406,0.0019406,0.0019406
11,195.752,2.9201,3.15578,3.73085,0.002,0.6,0.00441,0.00099,2.78368,3.96157,4.00629,0.001934,0.001934,0.001934
12,212.426,2.86229,3.06315,3.7331,0.00167,0.5,0.00552,0.00145,2.72674,3.73581,3.82745,0.0019274,0.0019274,0.0019274
13,228.322,2.89486,3.09066,3.66401,0.00333,1,0.108,0.03771,2.46796,3.5201,3.4937,0.0019208,0.0019208,0.0019208
14,244.254,2.9071,3.00172,3.49748,0.00333,1,0.21662,0.06339,2.36397,3.50751,3.31342,0.0019142,0.0019142,0.0019142
15,260.611,2.75025,3.53507,3.47138,0.15422,0.2,0.12556,0.0506,2.65045,6.80611,4.30855,0.0019076,0.0019076,0.0019076
16,276.735,2.99998,2.98414,3.57519,0.15422,0.2,0.12556,0.0506,2.65045,6.80611,4.30855,0.001901,0.001901,0.001901
17,295.721,2.76808,2.8906,3.32234,0.42577,0.2,0.16013,0.06456,2.46675,7.8483,6.58015,0.0018944,0.0018944,0.0018944
18,313.3,2.87639,2.8457,3.29428,0.002,0.6,0.00239,0.00088,3.00643,5.80449,8.95996,0.0018878,0.0018878,0.0018878
19,328.896,2.69021,2.77867,3.30042,0.0147,0.1,0.00579,0.00178,3.44521,6.10772,10.7282,0.0018812,0.0018812,0.0018812
20,344.73,2.91654,2.68754,3.35818,0.09171,0.3,0.04107,0.01702,3.35547,5.48961,10.5996,0.0018746,0.0018746,0.0018746
21,360.452,2.88696,2.82143,3.33195,0.11028,0.2,0.03471,0.01222,3.36313,5.24722,9.09833,0.001868,0.001868,0.001868
22,376.494,2.66534,2.65554,3.25961,0.00526,0.3,0.05259,0.02013,3.59258,4.09117,6.19522,0.0018614,0.0018614,0.0018614
23,391.834,2.61955,2.5322,3.27069,0.002,0.6,0.12978,0.03157,3.58525,4.08985,6.74481,0.0018548,0.0018548,0.0018548
