epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4327,2.8965,4.17532,4.46025,0.00267,0.8,0.0027,0.00094,2.31176,4.31047,4.1582,0.000533333,0.000533333,0.000533333
2,34.1326,2.81468,4.1256,4.27569,0.00267,0.8,0.00346,0.00121,2.30962,4.30945,4.15698,0.00119604,0.00119604,0.00119604
3,47.6037,3.01563,4.04134,4.27507,0.00267,0.8,0.00346,0.00121,2.30962,4.30945,4.15698,0.00185435,0.00185435,0.00185435
4,61.1934,2.99086,3.70942,4.19808,0.00267,0.8,0.00222,0.00078,2.30347,4.29706,4.1548,0.0019802,0.0019802,0.0019802
5,73.7734,2.77116,3.86543,4.15724,0.003,0.9,0.00539,0.00161,2.29575,4.2778,4.15395,0.0019736,0.0019736,0.0019736
6,86.5582,3.22052,4.14162,4.12988,0.003,0.9,0.00539,0.00161,2.29575,4.2778,4.15395,0.001967,0.001967,0.001967
7,98.885,3.07022,3.859,4.07849,0.003,0.9,0.00566,0.00171,2.29281,4.26275,4.15502,0.0019604,0.0019604,0.0019604
8,111.678,3.15103,3.85003,4.03664,0.003,0.9,0.00458,0.00142,2.29451,4.2402,4.15071,0.0019538,0.0019538,0.0019538
9,124.55,2.96653,3.40935,3.96839,0.003,0.9,0.00458,0.00142,2.29451,4.2402,4.15071,0.0019472,0.0019472,0.0019472
10,137.595,2.81533,3.54549,3.90714,0.003,0.9,0.00352,0.00107,2.3483,4.21974,4.17449,0.0019406,0.0019406,0.0019406
11,150.431,2.91582,3.37725,3.84802,0.003,0.9,0.00352,0.00107,2.3483,4.21974,4.17449,0.001934,0.001934,0.001934
12,163.759,2.88012,3.38892,3.80594,0.003,0.9,0.00478,0.0012,2.37393,4.23838,4.20814,0.0019274,0.0019274,0.0019274
13,177.478,2.9023,3.27882,3.7772,0.003,0.9,0.00481,0.00128,2.3594,4.22564,4.24447,0.0019208,0.0019208,0.0019208
14,191.295,2.84857,2.99481,3.68833,0.003,0.9,0.00481,0.00128,2.3594,4.22564,4.24447,0.0019142,0.0019142,0.0019142
15,204.94,2.80988,3.01148,3.70402,0.003,0.9,0.00491,0.00148,2.30662,4.16506,4.26455,0.0019076,0.0019076,0.0019076
16,218.328,2.64277,3.58821,3.67095,0.003,0.9,0.00559,0.0017,2.27023,4.03588,4.20693,0.001901,0.001901,0.001901
17,231.981,2.58056,2.87476,3.52355,0.003,0.9,0.00559,0.0017,2.27023,4.03588,4.20693,0.0018944,0.0018944,0.0018944
18,246.126,2.91636,3.01475,3.56539,0.00411,1,0.01138,0.00273,2.29379,3.87037,4.13259,0.0018878,0.0018878,0.0018878
19,260.489,2.76952,2.84143,3.45584,0.00411,1,0.01138,0.00273,2.29379,3.87037,4.13259,0.0018812,0.0018812,0.0018812
20,274.588,2.7643,2.95092,3.46599,0.00369,1,0.08743,0.01364,2.39851,3.7181,3.94261,0.0018746,0.0018746,0.0018746
21,289.062,2.75892,2.90574,3.41223,0.02423,0.5,0.18729,0.0403,2.24811,3.49584,3.73387,0.001868,0.001868,0.001868
22,303.222,2.71355,2.62137,3.3474,0.02423,0.5,0.18729,0.0403,2.24811,3.49584,3.73387,0.0018614,0.0018614,0.0018614
23,317.347,2.73664,2.53306,3.27177,0.00333,1,0.14794,0.04241,2.16249,3.51114,3.59655,0.0018548,0.0018548,0.0018548
24,331.764,2.54308,2.35279,3.25382,0.24359,0.3,0.22152,0.05342,2.25426,3.90384,4.15093,0.0018482,0.0018482,0.0018482
25,346.175,2.93448,2.51814,3.49528,0.24359,0.3,0.22152,0.05342,2.25426,3.90384,4.15093,0.0018416,0.0018416,0.0018416
26,359.377,2.74844,2.48148,3.3358,0.00289,0.8,0.0648,0.01565,2.34757,4.00755,5.57,0.001835,0.001835,0.001835
27,372.237,2.60966,2.55089,3.21434,0.00289,0.8,0.0648,0.01565,2.34757,4.00755,5.57,0.0018284,0.0018284,0.0018284
28,385.136,2.61899,2.39445,3.30291,0.8677,0.1,0.17473,0.03542,2.81518,3.57634,6.38815,0.0018218,0.0018218,0.0018218
29,398.038,2.79897,2.44788,3.27691,0.00412,0.3,0.00874,0.00149,2.81205,3.95828,8.67615,0.0018152,0.0018152,0.0018152
30,413.398,2.72483,2.30878,3.26156,0.00412,0.3,0.00874,0.00149,2.81205,3.95828,8.67615,0.0018086,0.0018086,0.0018086
31,427.323,2.49893,2.23669,3.15752,0.01097,0.1,0.00327,0.00068,3.08922,5.84277,12.3916,0.001802,0.001802,0.001802
32,441.667,2.44698,2.22764,3.2393,0.00207,0.6,0.0013,0.00041,3.00613,4.00431,10.736,0.0017954,0.0017954,0.0017954
33,457.845,2.5641,2.2751,3.21431,0.00207,0.6,0.0013,0.00041,3.00613,4.00431,10.736,0.0017888,0.0017888,0.0017888
34,473.183,2.52544,2.23506,3.11363,0.00226,0.5,0.0013,0.00034,3.26881,4.10057,4.4085,0.0017822,0.0017822,0.0017822
35,489.224,2.55063,2.20338,3.13819,0.00226,0.5,0.0013,0.00034,3.26881,4.10057,4.4085,0.0017756,0.0017756,0.0017756
36,504.141,2.36054,2.18152,2.98801,0.00055,0.1,0.00014,1e-05,3.4113,4.9393,4.43735,0.001769,0.001769,0.001769
37,518.414,2.46198,2.18266,3.09861,0.00052,0.1,0.00013,3e-05,3.27817,5.03178,4.23735,0.0017624,0.0017624,0.0017624
38,532.891,2.45743,2.09629,3.11334,0.00052,0.1,0.00013,3e-05,3.27817,5.03178,4.23735,0.0017558,0.0017558,0.0017558
39,554.747,2.43882,2.33183,3.17343,0.0022,0.5,0.01455,0.00315,2.88363,4.25474,3.79268,0.0017492,0.0017492,0.0017492
40,570.375,2.42176,2.15282,3.10873,1,0.3853,0.39687,0.07924,2.79992,3.54344,3.59009,0.0017426,0.0017426,0.0017426
41,587.216,2.62675,2.17751,3.20281,1,0.3853,0.39687,0.07924,2.79992,3.54344,3.59009,0.001736,0.001736,0.001736
42,605.339,2.48262,2.23141,3.10186,0.76295,0.4,0.42135,0.12719,2.86033,3.23898,3.66529,0.0017294,0.0017294,0.0017294
43,621.737,2.44994,2.12608,3.00336,0.76295,0.4,0.42135,0.12719,2.86033,3.23898,3.66529,0.0017228,0.0017228,0.0017228
44,638.5,2.44939,2.1021,3.12483,0.62341,0.5,0.46447,0.19439,2.82416,2.72906,3.91667,0.0017162,0.0017162,0.0017162
45,657.764,2.40987,2.22704,3.07814,1,0.3864,0.45982,0.19854,2.80168,3.13861,3.80673,0.0017096,0.0017096,0.0017096
46,673.522,2.351,2.04678,3.13387,1,0.3864,0.45982,0.19854,2.80168,3.13861,3.80673,0.001703,0.001703,0.001703
47,687.172,2.41951,1.86702,2.97606,0.39611,0.4,0.30047,0.0733,2.73177,3.41883,3.63016,0.0016964,0.0016964,0.0016964
48,701.864,2.45239,1.95531,3.02088,0.92565,0.3,0.4415,0.15896,2.40478,3.06039,3.32333,0.0016898,0.0016898,0.0016898
49,716.451,2.51801,1.89833,3.09433,0.92565,0.3,0.4415,0.15896,2.40478,3.06039,3.32333,0.0016832,0.0016832,0.0016832
50,731.052,2.19235,1.78558,2.87711,0.62635,0.4,0.40974,0.21216,2.21804,2.89366,3.22931,0.0016766,0.0016766,0.0016766
51,745.688,2.07839,1.80549,2.78466,0.62635,0.4,0.40974,0.21216,2.21804,2.89366,3.22931,0.00167,0.00167,0.00167
52,759.611,2.21586,1.83014,2.9224,0.44169,0.3,0.32689,0.17507,1.91332,3.14187,3.02406,0.0016634,0.0016634,0.0016634
53,773.903,2.12065,1.88833,2.83452,0.63282,0.8,0.83682,0.37546,1.90933,2.38072,2.83319,0.0016568,0.0016568,0.0016568
54,786.976,2.1651,1.77159,2.83215,0.63282,0.8,0.83682,0.37546,1.90933,2.38072,2.83319,0.0016502,0.0016502,0.0016502
55,800.6,1.99391,1.63539,2.7442,0.6742,0.7,0.69813,0.31648,1.78144,2.46184,2.80295,0.0016436,0.0016436,0.0016436
56,813.844,2.4182,1.92853,3.02613,0.77303,0.4,0.45229,0.18898,1.79833,2.99748,2.97483,0.001637,0.001637,0.001637
